date,time,lat,lon,cog,sog,log,wind,pressure,battery,sail,diesel_1,diesel_2,water_1,water_2,observation
4/5,18:00,"30°59.4'N","049°54.6'W",063,5.2,1536,W4,1020,90,E,47,66,81,87,"Calm, super lunch Peru"
4/5,21:00,"31°04.3'N","049°42.3'W",064,4.8,1548,N3,1021,"78%",E,44,66,69,86,"Drone landed perfectly + crew's 1st swim in Atlantic"
5/5,00:00,"31°10.9'N","049°22.2'W",063,4.7,1563,NE4,1021,"70%",E,42,66,60,84,"Calm night / same night"
5/5,03:00,"31°16.58'N","049°13.3'W",057,4.5,1576,NE6,1023,66,E,44,61,64,82,"Moon rise out of this world & also lovely pelican"
5/5,08:00,"31°22.1'N","048°59.3'W",061,4.2,1589,NE8,1022,62,E,44,57,66,83,"Still calm. Gino ate mayo by something you should happen!"
5/5,09:00,"31°32.0'N","048°47.5'W",054,5.2,1605,N7,1023,60,GE,33,56,60,83,"We put up the genoa"
5/5,12:00,"31°40.1'N","048°28.8'W",062,5.8,1622,SE9,2023,"55%",MGE,76,89,56,80,"Mini up, reef added + more than 8 dolphins swimming with us!!! :)"
5/5,15:01,"31°49.6'N","048°00.0'W",060,6.0,1655,SSE12,1024,57,MG,72,84,64,79,"We're fast back!"
6/5,00:05,"32°15.6'N","047°21.9'W",056,5.0,1693,S10,1025,48,MG,74,87,68,88,"Favourite light"
6/5,03:02,"32°21.4'N","047°02.9'W",064,4.4,1706,SSE5,1024,"90%",E,69,85,66,79,"Low wind, scattered clouds, lazy sailors & traffic chaos nearby"
6/5,06:00,"32°27.7'N","046°43.9'W",060,4.4,1710,SEE4,1024,87,E,66,82,66,78,"Wind too slow/unsteady and from starboard side, one crossing invisible sailboat at our stern about 100m"
6/5,09:00,"32°34.5'N","046°35.0'W",061,5.0,1735,SE5,1025,84,GE,67,80,65,79,""
6/5,12:21,"32°43.8'N","046°19.3'W",050,4.5,1750,E7,1025,79,E,69,80,50,75,"Beautiful morning. Huge moonrise without clouds can be seen in brackets (not only)"
6/5,15:00,"32°51.8'N","046°05.2'W",062,4.9,1764,S10,1025,77,E,64,78,48,73,""
